,Strike,Expiry,Type,Last_y,Bid_y,Ask_y,Vol_y,Underlying_Price_y,TtM_y,Implied_vol_bis,BS_Price,Avr_Price
1923,246.0,2019-02-20,put,0.04,0.02,0.03,229.0,273.8,0.021917808219178082,0.2690544917488098,0.010914492014786892,0.025
1924,246.0,2019-02-22,call,25.31,27.84,28.15,3.0,273.8,0.0273972602739726,0.3912191626942158,28.297162153608355,27.994999999999997
1925,246.0,2019-02-22,put,0.03,0.04,0.05,6.0,273.8,0.0273972602739726,0.26165863878130907,0.023419016032197204,0.045
1926,246.0,2019-02-25,put,0.22,0.1,0.12,3.0,273.8,0.03561643835616438,0.24633704831123354,0.041458287640711244,0.11
1927,246.0,2019-02-27,put,0.08,0.08,0.09,2.0,273.8,0.0410958904109589,0.24137157126247885,0.0605724861271133,0.08499999999999999
1928,246.0,2019-03-01,call,28.02,28.19,28.35,1.0,273.8,0.04657534246575343,0.30777215337008235,28.44872769124433,28.270000000000003
1929,246.0,2019-03-01,put,0.13,0.12,0.13,82.0,273.8,0.04657534246575343,0.2421100717562437,0.09504878339802669,0.125
1930,246.0,2019-03-08,call,27.49,28.41,28.67,6.0,273.8,0.06575342465753424,0.2798215786087513,28.715631235497995,28.54
1931,246.0,2019-03-08,put,0.34,0.22,0.23,5.0,273.8,0.06575342465753424,0.22971327702701094,0.19477112214983094,0.225
1932,246.0,2019-03-15,put,0.37,0.37,0.38,385.0,273.8,0.08493150684931507,0.22777147968351844,0.3604510760640167,0.375
1933,246.0,2019-03-29,put,0.7,0.65,0.67,6.0,273.8,0.1232876712328767,0.21721499063387514,0.659046170101746,0.66
1934,246.0,2019-04-18,call,26.86,29.06,29.31,5.0,273.8,0.1780821917808219,0.18728412888467305,29.58487069204861,29.185
1935,246.0,2019-04-18,put,1.17,1.14,1.16,61.0,273.8,0.1780821917808219,0.20995327772781253,1.1438854914132648,1.15
1936,246.5,2019-02-22,call,26.62,27.43,27.66,1.0,273.8,0.0273972602739726,0.3617665530303121,27.70422132822941,27.545
1937,246.5,2019-02-22,put,0.2,0.04,0.05,30.0,273.8,0.0273972602739726,0.2617137133944034,0.02711680291627072,0.045
1938,247.0,2019-02-13,call,25.6,26.73,26.95,3.0,273.8,0.0027397260273972603,0.7946807578742503,26.83943618563211,26.84
1939,247.0,2019-02-19,put,0.1,0.01,0.02,92.0,273.8,0.019178082191780823,0.26552637865543366,0.006943720819929999,0.015
1940,247.0,2019-02-20,put,0.07,0.02,0.03,29.0,273.8,0.021917808219178082,0.26622816274046895,0.01376442213513851,0.025
1941,247.0,2019-02-22,call,23.12,26.91,27.14,5.0,273.8,0.0273972602739726,0.3676924979528785,27.249256363164307,27.025
1942,247.0,2019-02-22,put,0.05,0.04,0.05,181.0,273.8,0.0273972602739726,0.256854630484581,0.026762958605595966,0.045
1943,247.0,2019-02-25,call,20.29,26.9,27.14,2.0,273.8,0.03561643835616438,0.32455927094995973,27.30518929895902,27.02
1944,247.0,2019-02-25,put,0.09,0.05,0.06,4.0,273.8,0.03561643835616438,0.2357026412010193,0.03819235123416309,0.055
1945,247.0,2019-02-27,put,0.32,0.09,0.1,241.0,273.8,0.0410958904109589,0.23545897776126862,0.06438996263341057,0.095
1946,247.0,2019-03-01,call,23.37,27.17,27.4,7.0,273.8,0.04657534246575343,0.2981948033225536,27.448326028037513,27.285
1947,247.0,2019-03-01,put,0.13,0.13,0.14,3.0,273.8,0.04657534246575343,0.23772955385565764,0.10453237224772671,0.135
1948,247.0,2019-03-04,put,0.46,0.16,0.17,1.0,273.8,0.0547945205479452,0.2275286507076025,0.1311259810364218,0.165
1949,247.0,2019-03-08,put,0.67,0.24,0.25,1.0,273.8,0.06575342465753424,0.22582384109318257,0.21144038911776697,0.245
1950,247.0,2019-03-15,put,0.4,0.4,0.41,358.0,273.8,0.08493150684931507,0.22393711836278438,0.38503913395901357,0.405
1951,247.0,2019-03-29,put,0.69,0.7,0.71,30.0,273.8,0.1232876712328767,0.21408585556149484,0.700231186951978,0.705
1952,247.0,2019-04-18,call,25.06,28.08,28.33,1.0,273.8,0.1780821917808219,0.18692520512774585,28.672095550631894,28.205
1953,247.0,2019-04-18,put,1.26,1.21,1.23,291.0,273.8,0.1780821917808219,0.20761338898114856,1.2118776254405468,1.22
1954,247.5,2019-02-15,call,17.19,26.35,26.61,1.0,273.8,0.00821917808219178,0.5936208692073821,26.511795059714842,26.48
1955,247.5,2019-02-15,put,0.01,0.01,0.02,212.0,273.8,0.00821917808219178,0.3521971303892136,0.001726668745371418,0.015
1956,247.5,2019-02-22,call,17.28,26.43,26.67,1.0,273.8,0.0273972602739726,0.3597970097643137,26.74137479599088,26.55
1957,247.5,2019-02-22,put,0.08,0.04,0.05,601.0,273.8,0.0273972602739726,0.2563572900390625,0.030449293456971116,0.045
1958,247.5,2019-03-01,call,25.92,26.6,26.82,1.0,273.8,0.04657534246575343,0.2931074945539236,26.94629725804785,26.71
1959,247.5,2019-03-01,put,0.22,0.14,0.15,5.0,273.8,0.04657534246575343,0.23537803476929664,0.10920525786771584,0.14500000000000002
1960,247.5,2019-03-08,put,0.49,0.25,0.25,2.0,273.8,0.06575342465753424,0.22374560891270634,0.21967709104175093,0.25
1961,247.5,2019-03-22,call,26.44,27.1,27.35,1.0,273.8,0.10410958904109589,0.2214323708547651,27.52905044609693,27.225
1962,247.5,2019-03-22,put,0.89,0.56,0.58,274.0,273.8,0.10410958904109589,0.2156346204388142,0.5453635874059373,0.5700000000000001
1963,248.0,2019-02-13,call,25.35,25.67,25.91,5.0,273.8,0.0027397260273972603,0.7929058532977104,25.84696443481147,25.79
1964,248.0,2019-02-19,call,20.34,25.87,26.13,1.0,273.8,0.019178082191780823,0.38721206735968594,26.087852083000996,26.0
1965,248.0,2019-02-19,put,0.02,0.02,0.03,12.0,273.8,0.019178082191780823,0.25517735817670817,0.006691514940191268,0.025
1966,248.0,2019-02-20,put,0.06,0.02,0.03,150.0,273.8,0.021917808219178082,0.2559951327347755,0.013330690845325677,0.025
1967,248.0,2019-02-22,call,24.88,25.99,26.21,3.0,273.8,0.0273972602739726,0.3675399996870756,26.299759397601207,26.1
1968,248.0,2019-02-22,put,0.04,0.04,0.05,250.0,273.8,0.0273972602739726,0.251431450022459,0.030035576286970844,0.045
1969,248.0,2019-02-25,put,0.12,0.06,0.07,1.0,273.8,0.03561643835616438,0.23023189630031585,0.041743515302544054,0.065
1970,248.0,2019-02-27,put,0.16,0.1,0.11,85.0,273.8,0.0410958904109589,0.23171306960701943,0.07322095560837827,0.10500000000000001
1971,248.0,2019-03-01,call,22.48,26.12,26.33,2.0,273.8,0.04657534246575343,0.29674638272136444,26.499817571910683,26.225
1972,248.0,2019-03-01,put,0.23,0.14,0.15,127.0,273.8,0.04657534246575343,0.23475552474856382,0.11956270890049048,0.14500000000000002
1973,248.0,2019-03-04,put,0.57,0.17,0.18,4.0,273.8,0.0547945205479452,0.22261157256126402,0.1406866706457892,0.175
1974,248.0,2019-03-06,put,0.35,0.21,0.22,9.0,273.8,0.06027397260273973,0.22154491916447872,0.1797914584148792,0.215
1975,248.0,2019-03-08,put,0.26,0.26,0.27,808.0,273.8,0.06575342465753424,0.22158372173279517,0.22784244904455875,0.265
1976,248.0,2019-03-13,put,0.33,0.33,0.35,14.0,273.8,0.07945205479452055,0.2159865555611253,0.32156113309618917,0.33999999999999997
1977,248.0,2019-03-15,put,0.44,0.43,0.44,119.0,273.8,0.08493150684931507,0.21982581935688855,0.40927892794025134,0.435
1978,248.0,2019-03-29,put,0.73,0.75,0.75,1486.0,273.8,0.1232876712328767,0.2115539879788458,0.7528954821376033,0.75
1979,248.0,2019-04-18,call,24.5,27.17,27.39,10.0,273.8,0.1780821917808219,0.1836923879238963,27.714478925357128,27.28
1980,248.0,2019-04-18,put,1.3,1.28,1.3,519.0,273.8,0.1780821917808219,0.20584229164585469,1.2964231870781298,1.29
